,student_id,assignment_id,class_num,observation_id,item_type,source_question,primary_kc_id,all_kc_ids,score,max_score,percent_score,student_response,correct_answer_or_rubric,rubric_level
0,S001,HW1,1,HW1_PCA_Q01,MCQ,PCA Q01,KC.U1.02.observational_unit_variable,KC.U1.02.observational_unit_variable,0.0,1,0,C,E,
1,S001,HW1,1,HW1_PCA_Q02,MCQ,PCA Q02,KC.U1.03.variable_type_cat_quant,KC.U1.03.variable_type_cat_quant,1.0,1,100,E,E,
2,S001,HW1,1,HW1_PCA_Q03,MCQ,PCA Q03,KC.U1.03.variable_type_cat_quant,KC.U1.03.variable_type_cat_quant,0.0,1,0,C,D,
3,S001,HW1,1,HW1_PCA_Q04,MCQ,PCA Q04,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,E,E,
4,S001,HW1,1,HW1_PCA_Q05,MCQ,PCA Q05,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
5,S001,HW1,1,HW1_PCA_Q06,MCQ,PCA Q06,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,D,D,
6,S001,HW1,1,HW1_PCA_Q07,MCQ,PCA Q07,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,E,E,
7,S001,HW1,1,HW1_PCA_Q08,MCQ,PCA Q08,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented,0.0,1,0,A,D,
8,S001,HW1,1,HW1_PCA_Q09,MCQ,PCA Q09,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
9,S001,HW1,1,HW1_PCA_Q10,MCQ,PCA Q10,KC.U1.07.two_way_table_association,KC.U1.07.two_way_table_association|KC.U1.05.categorical_freq_relative,0.0,1,0,A,E,
10,S001,HW1,1,HW1_PCA_Q11,MCQ,PCA Q11,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.07.two_way_table_association,0.0,1,0,D,A,
11,S001,HW1,1,HW1_PCA_Q12,MCQ,PCA Q12,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.07.two_way_table_association,0.0,1,0,D,A,
12,S001,HW1,1,HW1_SG1_Q24,MCQ,SG1 Q24,KC.U1.08.graph_choice_categorical,KC.U1.08.graph_choice_categorical|KC.U1.07.two_way_table_association,1.0,1,100,D,D,
13,S001,HW1,1,HW1_SG1_Q26,MCQ,SG1 Q26,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,D,D,
14,S001,HW1,1,HW1_SG1_Q47,MCQ,SG1 Q47,KC.U1.07.two_way_table_association,KC.U1.07.two_way_table_association|KC.U1.05.categorical_freq_relative,1.0,1,100,A,A,
15,S001,HW1,1,HW1_SG1_Q48,MCQ,SG1 Q48,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,0.0,1,0,C,E,
16,S001,HW1,1,HW1_SG1_Q49,MCQ,SG1 Q49,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
17,S001,HW1,1,HW1_SG1_Q66,MCQ,SG1 Q66,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
18,S001,HW1,1,HW1_SG1_Q68,MCQ,SG1 Q68,KC.U1.07.two_way_table_association,KC.U1.07.two_way_table_association|KC.U1.06.categorical_bar_pie_segmented,0.0,1,0,A,D,
19,S001,HW1,1,HW1_SG1_Q74,MCQ,SG1 Q74,KC.U1.08.graph_choice_categorical,KC.U1.08.graph_choice_categorical|KC.U1.07.two_way_table_association,1.0,1,100,C,C,
20,S001,HW1,1,HW1_SGFRQ1_Q1a,FRQ_Component,SGFRQ1 Q1a,KC.U1.27.sample_population_scope,KC.U1.27.sample_population_scope|KC.U1.01.statistical_context,0.0,1,0,I,Rubric: population = one-bedroom apartments listed on the specific website at the sampling time,I
21,S001,HW2,2,HW2_PCA_Q13,MCQ,PCA Q13,KC.U1.04.variable_type_discrete_continuous,KC.U1.04.variable_type_discrete_continuous|KC.U1.03.variable_type_cat_quant,1.0,1,100,C,C,
22,S001,HW2,2,HW2_PCA_Q14,MCQ,PCA Q14,KC.U1.04.variable_type_discrete_continuous,KC.U1.04.variable_type_discrete_continuous|KC.U1.03.variable_type_cat_quant,1.0,1,100,E,E,
23,S001,HW2,2,HW2_PCA_Q15,MCQ,PCA Q15,KC.U1.09.quantitative_display_reading,KC.U1.09.quantitative_display_reading|KC.U1.04.variable_type_discrete_continuous,0.0,1,0,C,A,
24,S001,HW2,2,HW2_PCA_Q16,MCQ,PCA Q16,KC.U1.10.histogram_shape_features,KC.U1.10.histogram_shape_features|KC.U1.09.quantitative_display_reading,1.0,1,100,A,A,
25,S001,HW2,2,HW2_PCA_Q17,MCQ,PCA Q17,KC.U1.10.histogram_shape_features,KC.U1.10.histogram_shape_features|KC.U1.09.quantitative_display_reading,1.0,1,100,B,B,
26,S001,HW2,2,HW2_PCA_Q18,MCQ,PCA Q18,KC.U1.10.histogram_shape_features,KC.U1.10.histogram_shape_features|KC.U1.09.quantitative_display_reading,1.0,1,100,A,A,
27,S001,HW2,2,HW2_PCB_Q01,MCQ,PCB Q01,KC.U1.12.center_mean_median_mode,KC.U1.12.center_mean_median_mode,1.0,1,100,C,C,
