,user_id,skill_name,correct,order_id,correct_predictions,state_predictions
73,S001,MKC.U3.05.blocking_matching_blinding_confounding,1,0,0.4399936241602692,0.1720711246192338
87,S001,MKC.U8.02.chi_square_two_way_structure,0,1,0.39773543174087467,0.4844387112443844
95,S001,MKC.U4.04.binomial_model,0,2,0.4434287337868903,0.4134026605607083
96,S001,MKC.U6.02.one_prop_hypothesis_tests,0,3,0.3938866711720322,0.30074115906653837
121,S001,MKC.U9.01.slope_inference_foundations_ci,0,4,0.48045890919990875,0.701717610090171
133,S001,MKC.U4.04.binomial_model,0,5,0.3885296874911003,0.26609742035269796
144,S001,MKC.U6.02.one_prop_hypothesis_tests,0,6,0.37243444236599255,0.22127684054318356
169,S001,MKC.U1.06.normal_distribution_calculations,1,7,0.5582687526431697,0.6738432074166171
204,S001,MKC.U2.03.correlation_form_outliers_transform,0,8,0.5018479287975137,0.6356003598736786
214,S001,MKC.U5.05.diff_means_sampling_distribution,0,9,0.5352807874862728,0.34799002442884214
240,S001,MKC.U4.03.random_variables_expected_value,0,10,0.4033803481186831,0.14554635346862987
334,S001,MKC.U6.01.one_prop_confidence_intervals,0,11,0.43456391014353385,0.6536002212248031
339,S001,MKC.U8.01.chi_square_gof,1,12,0.49207250315486095,0.3253040649680745
357,S001,MKC.U6.05.two_prop_hypothesis_tests,0,13,0.3962942099201002,0.1908269054656957
363,S001,MKC.U1.06.normal_distribution_calculations,0,14,0.5847661764820673,0.7860508669402687
365,S001,MKC.U1.04.summary_statistics_outliers,1,15,0.5346536595378323,0.5255979411710695
385,S001,MKC.U7.04.two_sample_t_intervals,0,16,0.31901631525522745,0.2044347653622894
403,S001,MKC.U3.05.blocking_matching_blinding_confounding,0,17,0.47788276384569417,0.2975712206872007
429,S001,MKC.U6.03.errors_alpha_power,1,18,0.4173911020020117,0.3401289266736797
445,S001,MKC.U2.01.two_way_categorical_association,1,19,0.45872503510401585,0.11210792166554727
456,S001,MKC.U6.01.one_prop_confidence_intervals,0,20,0.4040306883641337,0.5434433567176399
477,S001,MKC.U4.01.probability_foundations_simulation,0,21,0.5456648081827902,0.46985931851352264
536,S001,MKC.U4.01.probability_foundations_simulation,0,22,0.5305048744640042,0.3943590719075695
541,S001,MKC.U4.01.probability_foundations_simulation,0,23,0.5176718815057774,0.33044756998339286
548,S001,MKC.U1.05.standardization_transformations,1,24,0.5029564308743262,0.3346005452934199
563,S001,MKC.U4.03.random_variables_expected_value,0,25,0.40493206190370123,0.1521091269530597
565,S001,MKC.U4.03.random_variables_expected_value,1,26,0.40595310441802324,0.15642749468566947
645,S001,MKC.U10.04.power_typeii_tradeoffs,0,27,0.3375924532240945,0.23936264824223333
653,S001,MKC.U6.02.one_prop_hypothesis_tests,0,28,0.35654716245401263,0.16242645801137695
667,S001,MKC.U2.04.regression_prediction_interpretation,0,29,0.5134831336066141,0.40967834291926103
730,S001,MKC.U1.05.standardization_transformations,1,30,0.5210825129743719,0.42840886955559326
758,S001,MKC.U8.01.chi_square_gof,1,31,0.5249464448113779,0.46393695757641423
769,S001,MKC.U1.04.summary_statistics_outliers,1,32,0.5892301794436284,0.6903591536117899
