,user_id,skill_name,correct,order_id,correct_predictions,state_predictions
73,S001,KC.U3.22.matched_pairs_design,1,0,0.3740263529604624,0.3411965184296812
87,S001,KC.U8.17.independence_hypotheses,0,1,0.4887065183864775,0.3562755246439531
95,S001,KC.U4.25.binomial_cumulative_probability,0,2,0.4868176858627576,0.6648638611156934
96,S001,KC.U6.12.one_prop_hypotheses,0,3,0.47239854355937927,0.5796705393642174
121,S001,KC.U9.05.slope_ci_compute,0,4,0.5555555555555555,0.4843680707532305
133,S001,KC.U4.24.binomial_exact_probability,0,5,0.4226828716659659,0.2697491463803403
144,S001,KC.U6.14.one_prop_test_statistic,0,6,0.2778135169717747,0.33658369219016765
169,S001,KC.U1.22.normal_tail_interval_probability,1,7,0.5796647945232332,0.42832041329881215
204,S001,KC.U2.10.correlation_interpretation,0,8,0.5371322644308542,0.7428801783318918
214,S001,KC.U5.22.difference_sample_means_standard_error,0,9,0.5933466602134763,0.9594919690587224
240,S001,KC.U4.16.expected_value_calculation,0,10,0.43834358570360693,0.6972533798568442
334,S001,KC.U6.07.one_prop_ci_interpret,0,11,0.29490339989873726,0.42009336213928455
339,S001,KC.U8.04.gof_expected_counts,1,12,0.38867021437752114,0.4621017248322333
357,S001,KC.U6.31.two_prop_test_statistic_pvalue,0,13,0.3941724595488989,0.48349240235133245
363,S001,KC.U1.22.normal_tail_interval_probability,0,14,0.62737410319789,0.5916659377066631
365,S001,KC.U1.14.five_number_boxplot,1,15,0.4574793582193105,0.22467159153869098
385,S001,KC.U7.19.two_sample_t_interval_conditions,0,16,0.4983659149378432,0.3938018904357824
403,S001,KC.U3.24.confounding_variables,0,17,0.3236187682357644,0.45206993269457774
429,S001,KC.U6.21.power_beta_relationship,1,18,0.4136108930041299,0.3450493768723549
445,S001,KC.U2.03.conditional_relative_frequency,1,19,0.3994710420647535,0.13813654864220337
456,S001,KC.U6.04.one_prop_ci_conditions,0,20,0.4255876809385307,0.317288724534563
477,S001,KC.U4.32.probability_from_simulation,0,21,0.4751422859752171,0.8334534847540604
536,S001,KC.U4.02.simulation_model_design,0,22,0.6152445288920132,0.59747655625519
541,S001,KC.U4.01.probability_long_run_interpretation,0,23,0.6142003573219216,0.7640809062412248
548,S001,KC.U1.19.z_score_compute_interpret,1,24,0.4435579093315092,0.08781359533845819
563,S001,KC.U4.33.expected_value_decision_making,0,25,0.41063251275237345,0.4060639325312592
565,S001,KC.U4.16.expected_value_calculation,1,26,0.4101241006046702,0.6264612905723279
645,S001,KC.U10.15.rejection_region_power_calculation,0,27,0.2155505456764068,0.1587375044595315
653,S001,KC.U6.12.one_prop_hypotheses,0,28,0.40336704629112363,0.4680995371878502
667,S001,KC.U2.20.regression_extrapolation,0,29,0.6113341918025055,0.6620105839086873
730,S001,KC.U1.18.linear_transformations,1,30,0.5387813709659469,0.6739470054719153
758,S001,KC.U8.03.gof_null_alternative_hypotheses,1,31,0.46909430557215864,0.7107119759788268
769,S001,KC.U1.13.spread_iqr_range_sd,1,32,0.6094669210322885,0.7228105378440254
781,S001,KC.U10.17.power_specific_alternative,1,33,0.6549478901482512,0.7176320541329083
835,S001,KC.U8.02.gof_procedure_selection,0,34,0.663696469971532,0.10104407236568326
856,S001,KC.U7.12.mean_hypotheses,1,35,0.4513584965547806,0.7477537325428623
897,S001,KC.U4.26.binomial_mean_sd,1,36,0.5097559994387902,0.8739381489685222
939,S001,KC.U8.20.two_way_test_statistic,0,37,0.25843692891205355,0.1531901763276877
962,S001,KC.U7.14.t_test_statistic_mean,1,38,0.3238229340299219,0.1900777625091515
972,S001,KC.U6.20.significance_level_alpha,0,39,0.4937351143079202,0.9931116317570133
978,S001,KC.U3.01.population_of_interest,0,40,0.5391033345221714,0.657846430235885
980,S001,KC.U3.22.matched_pairs_design,0,41,0.40121929336778883,0.48753405122059496
1001,S001,KC.U4.16.expected_value_calculation,0,42,0.5109588991248228,0.8794179279736893
1008,S001,KC.U4.18.standard_deviation_random_variable,0,43,0.539609719635743,0.5308789106719112
1017,S001,KC.U5.08.estimator_variability_efficiency,0,44,0.3277270643905603,0.010276469768011293
1048,S001,KC.U3.16.explanatory_response_treatments,0,45,0.47655640091661267,0.5126314101764798
1065,S001,KC.U7.23.two_sample_t_hypotheses,0,46,0.34895415048371226,0.3048513640302045
1074,S001,KC.U10.09.bootstrap_vs_randomization_test,1,47,0.4245423068134193,0.44496063800360175
1087,S001,KC.U7.07.ci_width_sample_size_confidence,1,48,0.539791772606646,0.875747010554886
1124,S001,KC.U8.09.gof_decision_conclusion,0,49,0.49236805748789625,0.4918771019802825
1149,S001,KC.U1.15.outlier_rule,1,50,0.47859725215407956,0.4044053651637941
1162,S001,KC.U3.13.stratification_design_advantage,1,51,0.46131306911022624,0.8682141194270524
