student_id,assignment_id,class_num,observation_id,item_type,source_question,primary_kc_id,all_kc_ids,score,max_score,percent_score,student_response,correct_answer_or_rubric,rubric_level
S001,HW1,1,HW1_PCA_Q02,MCQ,PCA Q02,KC.U1.03.variable_type_cat_quant,KC.U1.03.variable_type_cat_quant,1.0,1,100,E,E,
S001,HW1,1,HW1_PCA_Q03,MCQ,PCA Q03,KC.U1.03.variable_type_cat_quant,KC.U1.03.variable_type_cat_quant,0.0,1,0,C,D,
S001,HW1,1,HW1_PCA_Q04,MCQ,PCA Q04,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,E,E,
S001,HW1,1,HW1_PCA_Q05,MCQ,PCA Q05,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
S001,HW1,1,HW1_PCA_Q06,MCQ,PCA Q06,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,1.0,1,100,D,D,
S001,HW1,1,HW1_PCA_Q07,MCQ,PCA Q07,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,E,E,
S001,HW1,1,HW1_PCA_Q08,MCQ,PCA Q08,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented,0.0,1,0,A,D,
S001,HW1,1,HW1_PCA_Q09,MCQ,PCA Q09,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
S001,HW1,1,HW1_PCA_Q10,MCQ,PCA Q10,KC.U1.07.two_way_table_association,KC.U1.07.two_way_table_association|KC.U1.05.categorical_freq_relative,0.0,1,0,A,E,
S001,HW1,1,HW1_PCA_Q11,MCQ,PCA Q11,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.07.two_way_table_association,0.0,1,0,D,A,
S001,HW1,1,HW1_PCA_Q12,MCQ,PCA Q12,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.07.two_way_table_association,0.0,1,0,D,A,
S001,HW1,1,HW1_SG1_Q26,MCQ,SG1 Q26,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,D,D,
S001,HW1,1,HW1_SG1_Q47,MCQ,SG1 Q47,KC.U1.07.two_way_table_association,KC.U1.07.two_way_table_association|KC.U1.05.categorical_freq_relative,1.0,1,100,A,A,
S001,HW1,1,HW1_SG1_Q48,MCQ,SG1 Q48,KC.U1.05.categorical_freq_relative,KC.U1.05.categorical_freq_relative,0.0,1,0,C,E,
S001,HW1,1,HW1_SG1_Q49,MCQ,SG1 Q49,KC.U1.06.categorical_bar_pie_segmented,KC.U1.06.categorical_bar_pie_segmented|KC.U1.05.categorical_freq_relative,1.0,1,100,B,B,
